Minisector,GRO,MAG,Fastest
0,307.7647937381812,309.8539604730718,MAG
1,233.24219515409473,236.42812732350885,MAG
2,137.65681878603087,137.11643635474715,GRO
3,221.40423463104005,222.28342783905782,MAG
4,265.91594745845003,265.02474284650594,GRO
5,288.6426266634629,289.9477764838692,MAG
6,302.806832109884,305.48171233793454,MAG
7,281.95859253333333,288.57577136929166,MAG
8,172.58061127555243,175.87515901119195,MAG
9,241.6950387800486,239.87259782131872,GRO
10,275.15400695864014,273.9838777037527,GRO
11,265.9667703983216,267.4571894601562,MAG
12,208.48437481212122,203.17464357003158,GRO
13,132.12067010214457,125.20951424611803,GRO
14,127.33905738948344,126.37796348581287,GRO
15,169.03645632032405,161.51192689073213,GRO
16,125.28613011018216,126.62943155286757,MAG
17,234.36940509714287,233.66167915553515,GRO
18,189.30237007253206,182.647539347953,GRO
19,167.79064963594115,167.42584622684166,GRO
20,252.86228604554424,251.9889980688814,GRO
21,281.613281,279.3022444908394,GRO
22,296.00835750922425,299.00248017585756,MAG
23,304.3480627108957,317.4410504802906,MAG
24,307.8724023429128,327.62051942137646,MAG
