Minisector,SAI,GAS,Fastest
0,290.17154087778204,283.9668939393939,SAI
1,163.51952479718167,154.70618281316789,SAI
2,167.83602060511885,175.27297621471862,GAS
3,250.5637775304983,251.88371936907828,GAS
4,283.43603818781213,279.79941379518453,SAI
5,241.7346360307046,243.5622453548896,GAS
6,216.8979886295619,218.92915549302833,GAS
7,152.9299165401383,150.09480969515704,SAI
8,230.3718862379203,226.98467068599035,SAI
9,278.9714433981582,280.4547727030303,GAS
10,296.0662266870321,299.3600888313213,GAS
11,305.06937975071907,308.229644089685,GAS
12,310.1667834896435,309.87083333333334,SAI
13,308.9617857142857,301.08889111619044,SAI
14,131.2147999866019,132.72995169557868,GAS
15,123.15697499207933,121.20224781365552,SAI
16,105.14553618814855,101.14686718160758,SAI
17,235.64791229686858,229.198391056704,SAI
18,284.6389439858209,286.29823701043085,GAS
19,305.2078424468949,306.7286470882382,GAS
20,315.168385456,316.5473376480994,GAS
21,317.11281252,313.75847597071896,SAI
22,123.70617458305925,115.71767100178931,SAI
23,208.39732321265805,197.20913058988555,SAI
24,268.5417131826985,267.8788945982338,SAI
25,280.5,281.0,GAS
