Minisector,NOR,SAI,Fastest
0,325.9578537876946,323.3143576140837,NOR
1,334.5781973586472,333.2775759890743,NOR
2,338.1851417150113,329.7467106021053,NOR
3,195.12510126690057,199.34936568710117,SAI
4,131.8287081748818,123.0076521314049,NOR
5,267.50074008683845,265.413194045291,NOR
6,300.5990941473809,302.5092418515304,SAI
7,317.7474267574269,315.93361795776394,NOR
8,281.145386344127,294.04438499400965,SAI
9,146.98737126728892,145.72419792945368,NOR
10,229.08348523902643,220.7231127554416,NOR
11,234.78333921168314,218.88570680704908,NOR
12,209.0828739703266,195.9087324699225,NOR
13,273.0878974566397,267.3728437832343,NOR
14,308.33527398299054,306.8004103442015,NOR
15,325.2659672875863,325.4121370363719,SAI
16,269.6460819994111,295.8810532773333,SAI
17,223.24730491199597,205.8354175682251,NOR
18,282.1400654118518,273.0559376502857,NOR
19,312.9223168263045,307.8577656610754,NOR
20,326.17598102405105,323.78880764148147,NOR
21,315.6141597790476,319.20324520778104,SAI
22,215.26225605446493,197.58614106924094,NOR
23,271.38212206279945,257.3647163455699,NOR
24,310.1132922467219,301.541849319619,NOR
25,,315.6332142628571,SAI
