Minisector,HUL,MAG,Fastest
0,279.298248012403,280.15915274378153,MAG
1,294.97125008,297.5331161904626,MAG
2,236.66040678603534,244.91185519171842,MAG
3,115.68537570420169,121.31915777005246,MAG
4,136.44071250852713,123.10224849975893,HUL
5,249.62218874418238,246.13527327569773,HUL
6,257.49478924444446,260.90521538850754,MAG
7,124.60818570739947,121.13875120972645,HUL
8,245.2278991304348,244.4079566010412,HUL
9,261.0601952418199,262.628300834632,MAG
10,210.459556958036,200.3778700330498,HUL
11,143.91516426183873,142.98648277660772,HUL
12,206.99562848472908,201.83290182200327,HUL
13,264.5781925333333,263.7291141334903,HUL
14,118.95971008260938,117.50270125890954,HUL
15,191.58427262392556,179.91848923333333,HUL
16,257.2504823776266,253.28264739835495,HUL
17,287.4692461641723,287.4831250666667,MAG
18,299.9300439578947,300.46833333333336,MAG
19,303.61864039298246,305.5978069894737,MAG
20,307.0616118229998,309.9041665185185,MAG
21,173.15974597675617,194.48289135354932,MAG
22,143.10500133333332,130.4492801355941,HUL
23,205.64118431067368,197.52682431509953,HUL
24,237.4343345066667,231.5154560867735,HUL
25,266.01659855939033,268.38472284444447,MAG
