Minisector,VET,STR,Fastest
0,283.9738657323973,281.4060509651452,VET
1,250.3790418898472,254.07522802174384,STR
2,278.5099404077597,270.27481834836533,VET
3,301.091546407981,286.303703762963,VET
4,124.61111327616167,126.87781609916024,STR
5,208.26454892492805,208.65339611686292,STR
6,275.143424358255,266.47390900084116,VET
7,308.2252156579763,290.0167431047062,VET
8,324.53412443777376,301.7464776039017,VET
9,328.32666666666665,308.05,VET
10,303.89350906010486,297.4713584,VET
11,100.45475941792076,105.40143953890832,STR
12,223.3061751169935,220.22400447075668,VET
13,272.81597197037036,269.77967100216046,VET
14,275.86384021478824,277.0266027485293,STR
15,130.03561555082942,128.382605183746,VET
16,201.6933952924218,200.33980822465216,VET
17,257.3734947546274,254.6240415937106,VET
18,257.2835603033909,253.89262516490982,VET
19,250.85898653915797,249.26377559770953,VET
20,149.98975822903117,144.3423692117413,VET
21,188.06070775017682,184.95551775053494,VET
22,177.00962884555503,170.34115997807595,VET
23,189.31268707107873,188.0161594690906,VET
24,253.58364002112435,247.07847071737547,VET
