Minisector,RUS,HAD,Fastest
0,298.11879007237746,297.79263271771094,RUS
1,165.84976054185634,160.36217993343635,RUS
2,155.7751004803186,161.58417593044987,HAD
3,233.01898387548715,225.94735323694363,RUS
4,285.6402991656517,285.81825390732695,HAD
5,287.6516716672831,294.42511017744584,HAD
6,143.66192805061044,146.48481336808206,HAD
7,147.71350698895247,133.51286616568098,RUS
8,136.71894494517556,139.83670119572344,HAD
9,204.2294387382652,184.51572355176174,RUS
10,133.62473570610538,135.4934316159758,HAD
11,132.95574160934262,130.09097716577836,RUS
12,177.40219268416965,161.30830992659068,RUS
13,272.46116540100127,265.5894212413135,RUS
14,295.12530966798613,292.5828091894136,RUS
15,154.6455888074056,145.97960995392236,RUS
16,206.713194113811,212.98420821062695,HAD
17,178.32619812732003,170.6014334531496,RUS
18,272.0968492174131,268.6952569701933,RUS
19,293.1677984000018,295.07012493957313,HAD
20,308.7023568444091,310.03063250078907,HAD
21,316.82315457423033,318.38029590756065,HAD
22,323.74725092932334,322.10071313916495,RUS
23,326.14773164157606,325.62422461353384,RUS
24,323.9009328294844,321.94538341370315,RUS
25,,316.21338933197944,HAD
