Minisector,PIA,HUL,Fastest
0,314.2054420209606,309.09458876453203,PIA
1,309.64751586871796,303.61039950145755,PIA
2,156.9437824515193,163.1046874984795,HUL
3,161.53675195593152,154.95796255142955,PIA
4,203.6902899178939,197.54646215555113,PIA
5,157.70311338666457,145.86017653355455,PIA
6,209.7138672103266,201.1259488094424,PIA
7,274.36031926827553,270.8675112241276,PIA
8,291.26173498560377,284.5924480654195,PIA
9,281.83135954040404,274.63611844033613,PIA
10,243.49657456995334,232.06083203734858,PIA
11,248.02639557099488,234.47724892230576,PIA
12,219.50163583135847,220.650154374026,HUL
13,177.06800077564677,177.9257947658654,HUL
14,136.91992501362336,134.75703630616655,PIA
15,132.66515031130578,127.79100936124347,PIA
16,203.8506256451505,187.1276992505136,PIA
17,271.4032569402645,267.9936400020915,PIA
18,207.2414022647517,197.26201462778602,PIA
19,115.80767457436473,113.60488011918918,PIA
20,210.82457319529087,208.83661787543295,PIA
21,189.5981130842704,177.5288291657143,PIA
22,245.16032893853668,243.42635891186882,PIA
23,280.5715859805519,278.5107110679365,PIA
24,306.96673766543415,304.954321292549,PIA
