Minisector,PIA,BEA,Fastest
0,289.808713094133,306.45488937168045,BEA
1,296.1338816327485,324.21136066400453,BEA
2,290.07780263818023,298.2931439438961,BEA
3,116.84701955807817,106.17561397998905,PIA
4,223.70772026008657,228.3031655054222,BEA
5,274.320761001864,285.3477347400866,BEA
6,212.0763075044898,193.72685302883414,PIA
7,161.81510386512207,161.11985423208216,PIA
8,207.21876556364936,197.5584858957804,PIA
9,216.88550014589313,208.09615870906833,PIA
10,121.13784789768569,107.54600719504526,PIA
11,229.76969144495112,224.0012668923053,PIA
12,117.98875618291072,112.49891364842337,PIA
13,223.65769614160342,229.61841237861103,BEA
14,276.78290679674893,289.1060172484997,BEA
15,218.77189154428277,194.87691479194865,PIA
16,192.31032095000995,185.59456244502164,PIA
17,247.3642064378999,247.14514900743,PIA
18,206.06931849687004,183.89401484054835,PIA
19,183.10139689452555,181.53487221910103,PIA
20,262.4616007873775,266.1367181,BEA
21,290.9003041288889,290.44910226005265,PIA
22,171.7573106120513,164.8169635721337,PIA
23,210.41902130514285,217.83537501249506,BEA
24,267.5040450107346,277.65560504785367,BEA
25,281.92857234285714,,PIA
