Minisector,NOR,RUS,Fastest
0,290.5133769204205,293.6081127447542,RUS
1,164.96156878226495,174.2339425419786,RUS
2,177.45434909161793,164.78625848679883,NOR
3,256.0004207190722,248.7274266548588,NOR
4,289.3784002015238,288.4402577371428,NOR
5,245.5624085448756,256.53286505886695,RUS
6,224.36082429923852,219.8995315353091,NOR
7,157.02697069537916,152.1834351823085,NOR
8,223.77912081345403,217.2759596768731,NOR
9,277.8898441331602,276.61640682666666,NOR
10,297.5265330087157,300.2921968872727,RUS
11,306.7593537959184,310.6541896510242,RUS
12,309.1844689394395,315.603437392,RUS
13,307.8060272633135,316.5391055455678,RUS
14,132.38353083988474,118.40199560462094,NOR
15,118.13406492917466,115.84136314657893,NOR
16,102.98332411286756,104.19674013854517,RUS
17,233.82110878044048,236.59963771686978,RUS
18,286.11859616715725,286.7578660366798,RUS
19,305.91874160314836,309.6019054408237,RUS
20,315.8858974881203,319.9235862327619,RUS
21,318.76120627649124,325.0992894373895,RUS
22,117.96408805327037,126.80252008784315,RUS
23,204.3603710002005,204.80781041331073,RUS
24,270.54229534018447,267.795493159089,NOR
