Minisector,LEC,MAG,Fastest
0,306.010800133654,301.36609128507934,LEC
1,239.66045167202694,242.2366626133619,MAG
2,130.0644590903492,129.61382799328675,LEC
3,230.7074163967046,237.27554755619047,MAG
4,191.43337880242703,186.74856318189717,LEC
5,248.1387957045118,249.01670782655032,MAG
6,229.29676604646275,223.44676313227987,LEC
7,254.1374495916883,247.90588670707075,LEC
8,290.03693842550723,286.3067915632762,LEC
9,199.68015456797306,216.79216263865854,MAG
10,205.35463740379686,196.6748797485208,LEC
11,273.47912653968257,272.168857270797,LEC
12,203.7454074568838,207.44594312146006,MAG
13,246.1417042228359,240.35823388548826,LEC
14,288.48844309394286,288.28645123426014,LEC
15,306.5870062010762,313.86342959666194,MAG
16,306.6477964794144,321.50716222651783,MAG
17,206.00404334526218,198.15629221261773,LEC
18,266.50537045079363,249.49361514666668,LEC
19,294.9605798691511,296.26967809586205,MAG
20,309.00455596021163,322.51968409777714,MAG
21,310.7509079149591,327.0223135151009,MAG
22,149.48715808280016,150.94653712303196,MAG
23,230.93581430379405,219.7185417827311,LEC
24,286.2246632156229,292.1081546895238,MAG
25,297.53500032,311.1574015501997,MAG
