Minisector,VER,LAW,Fastest
0,309.906776522857,308.3658337653231,VER
1,192.3871540086286,179.28800872615386,VER
2,111.83961107349316,107.15143637167611,VER
3,199.86786891185184,200.83366485768994,LAW
4,257.8844521779107,256.30085207325584,VER
5,285.0699269281999,283.3102023332213,VER
6,301.37697323990926,298.824034058836,VER
7,234.9193226393601,234.30742152507938,VER
8,144.58934670099737,143.35614229402597,VER
9,232.0010943228226,230.68345139352382,VER
10,271.7709642516959,267.1751921441976,VER
11,235.24227184561403,220.038111071809,VER
12,177.5748213902836,175.2653858057143,VER
13,106.59975437212124,104.72691605393018,VER
14,108.40515047556364,104.30716432388937,VER
15,142.8635772620683,134.3271145283208,VER
16,111.37516131891694,114.07946581578821,LAW
17,214.04970525044735,204.33729411947843,VER
18,158.06916636185008,146.58051397692392,VER
19,145.45145383014142,153.15913860077086,LAW
20,242.47766592,242.7788884768831,LAW
21,274.04577208574887,274.06977964800046,LAW
22,292.29752957086833,291.62538143666666,VER
23,300.75064471111114,300.5347916602469,VER
24,307.0591301762238,304.5813340329412,VER
25,309.0,,VER
