Minisector,STR,GAS,Fastest
0,306.25526416698415,308.6804200599066,GAS
1,214.5958615379048,214.67347367800454,GAS
2,129.9356906500729,131.27614449973785,GAS
3,215.50255067204924,213.3398405980952,STR
4,262.05582223765026,261.3411242659132,STR
5,284.7042533434741,290.23647920522876,GAS
6,300.66321127529415,304.44149682176874,GAS
7,267.7105825152951,271.6837041361164,GAS
8,167.31917824149224,163.60271871788362,STR
9,237.89201747740262,232.4522770443197,STR
10,269.6315107156661,271.1268572657321,GAS
11,252.2335344206561,254.95943232120302,GAS
12,208.62872929502063,196.487243876262,STR
13,129.06240620459886,125.40642194617827,STR
14,121.54091482287336,115.73111402773411,STR
15,171.04650622108403,166.2912693170021,STR
16,127.17406416880671,120.69612539174962,STR
17,229.0681630057825,220.71625129408017,STR
18,177.20778136423127,173.57389559626537,STR
19,160.8457851372646,147.48246340118038,STR
20,244.9419630629665,241.55618344365425,STR
21,273.40023911942586,277.1775892292833,GAS
22,290.3251814423903,300.5275297281793,GAS
23,299.8893891128889,314.67987707532467,GAS
24,303.07319123116883,320.31593861781647,GAS
25,304.1727278545455,323.79499904,GAS
