Minisector,PER,OCO,Fastest
0,297.9229166222222,298.67734055362706,OCO
1,273.36390631714517,279.92037037037034,OCO
2,173.60312965028606,171.32071414768342,PER
3,204.79595248463238,199.14393936161616,PER
4,221.26665567544447,221.73352863025158,OCO
5,265.38386176313844,266.7221666986667,OCO
6,224.03244224794815,226.90827808479096,OCO
7,215.24745787785506,208.11015646666667,PER
8,166.72984512454957,162.61501950015503,PER
9,177.08008950687832,175.43289560140352,PER
10,188.5304245695144,176.1562812631579,PER
11,211.82073852039235,205.06280356979377,PER
12,242.27791677167434,235.78649375632185,PER
13,171.96718999802118,165.47724665252713,PER
14,245.68749842962964,245.45306305747877,PER
15,272.08866646552383,271.56457141028574,PER
16,267.5616989948718,265.122487493584,PER
17,261.3399562904067,256.81102404418846,PER
18,246.21381419369493,248.53359816014108,OCO
19,248.97544685714288,242.80650692769058,PER
20,261.1768759392744,258.8798079179487,PER
21,193.71278608243665,192.56734821109677,PER
22,225.8269415780938,216.6742728481203,PER
23,273.6608325973333,274.61285278413425,OCO
24,290.0659487130247,291.90887693913044,OCO
25,294.83749973333335,,PER
