Minisector,ALB,HAD,Fastest
0,298.6384059670588,293.0680908933333,ALB
1,318.00731456256904,306.215882247873,ALB
2,326.9717612504202,310.9052314646913,ALB
3,328.5940971555556,305.37185102222224,ALB
4,191.91028680360043,189.74236932307397,ALB
5,229.05991680084657,222.21088890349208,ALB
6,266.7808885827176,270.853190769723,HAD
7,264.5681893925926,266.63492411027573,HAD
8,199.22412070623236,195.52034980253808,ALB
9,139.72980543851853,144.3199805586143,HAD
10,177.89703632006325,184.49028399450836,HAD
11,263.3532706380045,265.1005254308388,HAD
12,246.92431357930982,244.33242756508307,ALB
13,233.6908862153846,226.2501148889742,ALB
14,269.4743471288496,271.1038421118537,HAD
15,171.72233279396826,165.5439018174296,ALB
16,232.47200086262626,218.89481658254257,ALB
17,244.13475093564213,233.7707679506117,ALB
18,135.07901669187083,129.1914685984388,ALB
19,241.80934399492062,244.15738466444267,HAD
20,283.19943628196984,286.92440674136884,HAD
21,246.20683483826087,242.7320923083337,ALB
22,142.91848014307303,143.98336764035852,HAD
23,218.34326516114285,219.05050276289205,HAD
24,272.04088835969134,274.29631996434233,HAD
25,284.0071424,,ALB
