Minisector,RUS,HUL,Fastest
0,269.49816686842905,270.11302062459697,HUL
1,244.1731492739469,241.63537198466864,RUS
2,117.03559219883968,117.53979627362702,HUL
3,171.22656779064582,174.37055494027513,HUL
4,193.65928958754736,194.27273837440006,HUL
5,197.38810891567107,195.51223712018142,RUS
6,262.43303549002076,265.36269408338717,HUL
7,285.20902803137255,287.77616896277056,HUL
8,228.59965683039593,247.33455315837048,HUL
9,145.59692896279356,145.08997856582022,RUS
10,117.14214329231511,115.23558019429636,RUS
11,151.54281270422595,150.75306237514746,RUS
12,243.41220747881297,242.56102326545042,RUS
13,145.08316159374155,158.09391923915126,HUL
14,147.99425984154027,139.14317633039988,RUS
15,105.6482126831669,106.70957656178902,HUL
16,224.55167962993247,211.668875456,RUS
17,230.35223175455556,247.09981269156935,HUL
18,115.60222650834064,123.84508986610918,HUL
19,240.12337067528054,235.4830149519194,RUS
20,272.570108630303,275.32550654230727,HUL
21,204.89561450132132,211.40236193516537,HUL
22,150.64494665606125,143.9777339884935,RUS
23,215.16302751291735,218.4814344803325,HUL
24,227.84309497087276,216.8573024346592,RUS
25,,253.84642651428572,HUL
