Minisector,HAM,HUL,Fastest
0,278.6541819118197,273.87212813383303,HAM
1,239.45527925164524,225.82162110111838,HAM
2,118.27537266975311,114.47120554132967,HAM
3,191.75695266607244,188.41419019540933,HAM
4,183.44220516208827,177.17815528088366,HAM
5,220.36927461160704,218.5755453855845,HAM
6,277.813123514797,272.8006707815497,HAM
7,295.1005029265336,289.6238412539931,HAM
8,189.2372428151181,175.53184882003205,HAM
9,134.7144379248158,129.77922728305055,HAM
10,136.340087488696,134.8465312495744,HAM
11,191.84618319831043,188.61447066448036,HAM
12,224.73716972853362,215.71998070677574,HAM
13,135.11865839346348,132.11905641550356,HAM
14,157.87492082340663,150.69195345651144,HAM
15,121.6867084387457,122.88422961085733,HUL
16,256.0004622518751,253.17375771067245,HAM
17,144.22548236355888,138.73171859678163,HAM
18,200.8539008689968,201.4932971738665,HUL
19,140.69678152212484,131.81038010366424,HAM
20,155.20297986379876,147.53789965979445,HAM
21,130.67184078915665,127.30705435350347,HAM
22,146.44040085056997,144.00299212647218,HAM
23,222.0211279889915,214.79947989355006,HAM
24,236.88639619340327,229.77884784268394,HAM
