Minisector,HAM,LEC,Fastest
0,306.55516672,319.78916671999997,LEC
1,244.72568286664665,244.15795351919192,HAM
2,135.92056517371387,128.2138856906404,HAM
3,239.09734003333332,238.77727237171717,HAM
4,191.5466026073486,182.87930917806563,HAM
5,242.11861986666668,246.51595982857143,LEC
6,228.5845399313202,228.2123774117647,HAM
7,258.49302015844535,259.28092522896765,LEC
8,288.05969179234694,293.63866683733335,LEC
9,218.3721824152341,200.27235859743138,HAM
10,208.16594660250627,206.85738776109068,HAM
11,272.3344125177027,275.8661465469651,LEC
12,219.6377375085714,204.9240867442495,HAM
13,250.21031565460203,247.91854888602148,HAM
14,292.6909800439561,291.3446037144465,HAM
15,307.8405449846154,314.7710071619048,LEC
16,306.10966660266666,319.6312499555556,LEC
17,238.87768602428605,228.84047774449948,HAM
18,270.2083335727891,272.14434544761906,LEC
19,300.14591555076,305.4101189259822,LEC
20,308.13480951466664,324.9722223111111,LEC
21,299.37506847949874,325.34762300203744,LEC
22,160.58745903726702,138.8954395112062,HAM
23,238.43445019506885,236.62690862072827,HAM
24,290.2615415473711,302.75363794747466,LEC
25,302.4,,HAM
