Minisector,BOT,LEC,Fastest
0,297.0748188289855,299.4654759111111,LEC
1,252.0379326978751,245.42929356567743,BOT
2,197.75781442457756,197.86962644522586,LEC
3,266.3705698751781,264.30304739365295,BOT
4,233.07440533333332,224.2174121142857,BOT
5,123.26068358828549,120.16183130697344,BOT
6,181.27528331294118,175.41261308934753,BOT
7,260.05933294933334,256.8395825333333,BOT
8,295.5774211590848,288.3343909850431,BOT
9,309.8762500266667,303.2265871238095,BOT
10,313.8076516358125,309.51083328,BOT
11,240.18092947692307,217.44023282758621,BOT
12,145.09256566735098,145.2886766847715,LEC
13,260.3886827294219,257.19816583314287,BOT
14,296.5582299163646,289.8410536866014,BOT
15,307.04333333333335,299.6654761433107,BOT
16,300.7309522793651,298.15797616,BOT
17,267.72499999999997,253.80850103466665,BOT
18,185.09205185344803,176.56984759991886,BOT
19,192.48956866054976,179.21775126615543,BOT
20,181.36239613876464,187.53870332562784,LEC
21,247.36739287733909,246.91866624609523,BOT
22,125.89273536394667,124.42325280655932,BOT
23,200.85888895695606,204.11724835777005,LEC
24,277.14412901818184,277.87491883290045,LEC
25,295.32500053333337,,BOT
