Minisector,NOR,OCO,Fastest
0,279.5681953316017,282.7934839254701,OCO
1,154.15493791535638,153.5106332066609,NOR
2,148.6314690246691,143.23273450842743,NOR
3,222.7840303466428,224.1787604212011,OCO
4,278.93313288195003,283.21963955336787,OCO
5,275.89417226179893,287.91436084293275,OCO
6,138.9396024858884,134.170103007676,NOR
7,135.3457065266651,133.5584063470426,NOR
8,140.49617658320207,138.84031262350481,NOR
9,176.80143018253364,185.08783120381892,OCO
10,126.06847127468589,128.35285618839316,OCO
11,121.25535233565579,120.97152943612039,NOR
12,155.33256691389053,155.2784029994605,NOR
13,261.38921223397404,263.0371795145299,OCO
14,283.16528965158034,285.9792974421204,OCO
15,142.9438973714802,143.196870038974,OCO
16,204.8559136364631,201.07661721398313,NOR
17,166.34134440958306,163.91802529550264,NOR
18,265.4791038825056,269.4425765558793,OCO
19,287.8460179144749,294.9542965367965,OCO
20,301.37641316836437,310.9412198249697,OCO
21,310.75905328545076,319.30052153113746,OCO
22,313.50602272969695,322.9437252021164,OCO
23,313.9706228194112,324.4387563642732,OCO
24,310.950425347128,317.04884684041645,OCO
25,306.0,313.3166670222222,OCO
