Minisector,VET,VER,Fastest
0,258.3620213424225,258.698877374359,VER
1,224.00591566451615,242.1417234103387,VER
2,143.12053329619067,145.83753516501605,VER
3,240.79323892789117,238.7638242778414,VET
4,270.05471066174704,268.9436123018315,VET
5,181.84850924684685,187.2121588762662,VER
6,98.38480412894181,103.8903131225126,VER
7,133.45112823479107,124.53783801781557,VET
8,247.86990255824654,246.03256874555166,VET
9,169.21052359859297,171.07443514748775,VER
10,181.76800072099422,189.3051943783957,VER
11,252.09341684627762,256.99503163076923,VER
12,235.55208342857142,248.82086871748737,VER
13,256.3821808924276,264.54773778285715,VER
14,278.92789815652174,281.0442706222222,VER
15,275.49950237866665,269.9537113114663,VET
16,138.9142322962225,143.54948878506812,VER
17,233.4971306694828,237.37696307809523,VER
18,277.15344139130434,277.43172410389326,VER
19,286.3624999884058,286.19207905605356,VET
20,289.20961798222226,288.3403347812483,VET
21,294.04242424242426,287.8337949836047,VET
22,150.2025963996681,138.94624232554244,VET
23,81.45244819756738,83.67031822783461,VER
24,165.34307497895534,168.86027721293155,VER
25,240.7874976,,VET
