Minisector,ANT,ALB,Fastest
0,287.8455873990885,287.3346431302139,ANT
1,307.59873129382134,306.6371540807519,ANT
2,311.2671505423377,312.65224198474186,ALB
3,202.47706137904763,199.26487053736886,ANT
4,232.84061832402298,233.85643454113378,ALB
5,222.82387276519304,226.59229047855197,ALB
6,203.40693532943305,209.78627013308756,ALB
7,232.36233810536262,228.2418786564157,ANT
8,269.87928753835496,271.1161274926722,ALB
9,276.73695528666667,275.50521326044225,ANT
10,177.02440839143088,171.647491223873,ANT
11,238.74416998782092,240.74717939360744,ALB
12,111.79827338766013,113.21014574688282,ALB
13,223.42050686706827,226.7864135633065,ALB
14,277.1933027191302,277.54374439074377,ALB
15,292.9987662799423,294.6591359763207,ALB
16,221.01222994250784,216.06135146318192,ANT
17,189.72649154841926,182.89786458409415,ANT
18,268.2438514626347,272.1887592070309,ALB
19,295.1672269365195,293.62814867389926,ANT
20,307.60563206643684,305.8793664506782,ANT
21,306.14622031891156,306.96623379116886,ALB
22,281.3413871937251,275.39350220772053,ANT
23,119.29026621243301,120.70747372966292,ALB
24,243.57026915267124,243.74862443718385,ALB
25,273.75,,ANT
