Minisector,HAM,RUS,Fastest
0,295.4402456915716,296.1496685717749,RUS
1,306.2372739349611,299.36093753333336,HAM
2,282.60126664840357,276.1224825596922,HAM
3,105.97158646210549,106.80978351776531,RUS
4,216.86536651097643,217.9872219260451,RUS
5,270.93146402194986,272.1172321968254,RUS
6,213.33237522051283,207.26261898675423,HAM
7,157.50412916915138,157.44556228062558,HAM
8,201.79136712404647,189.35824688536798,HAM
9,214.27950964578594,200.290034162513,HAM
10,109.96982178162355,115.5660935638665,RUS
11,225.8964955018333,227.97876563352892,RUS
12,113.73958188062625,113.44122090252884,HAM
13,217.9700044310204,216.5382084850796,HAM
14,272.152870787626,272.76105846876936,RUS
15,213.8835027945743,216.00196987187775,RUS
16,191.41420739462288,175.49771867338524,HAM
17,250.65819921380262,233.1048918323257,HAM
18,197.33751417466868,200.2930673984648,RUS
19,176.65093169567345,174.8245223128509,HAM
20,264.11061043169525,263.27744451388605,HAM
21,292.9148276385185,292.6063909774436,HAM
22,169.4603828304267,171.14815798639216,RUS
23,207.4783369451122,202.23659519191094,HAM
24,273.6230231484249,272.54705217558444,HAM
25,287.60499968,287.9166670222222,RUS
