Minisector,SAI,PER,Fastest
0,280.4887969924812,284.3753434086478,PER
1,120.47481885756692,132.40416017790827,PER
2,159.19779220999237,160.0261589990715,PER
3,208.63514748014651,231.15062852498698,PER
4,158.50930831315787,163.24323547933508,PER
5,243.01980434521465,239.7967361415539,SAI
6,202.98192376772505,234.18949667961368,PER
7,132.76403963291344,136.89577825950897,PER
8,232.94274214119426,231.5908383453804,SAI
9,274.4775092191759,271.8261945722231,SAI
10,282.37923504358616,284.0957755030997,PER
11,147.7218943047619,152.78790642752688,PER
12,215.67071432727272,219.72435453496735,PER
13,268.15204244176215,265.8892813196355,SAI
14,256.76507425989075,271.00928620783066,PER
15,99.64285031963003,103.35890116545472,PER
16,219.4457016813328,219.54994842093663,PER
17,269.1509524342857,270.3457318495722,PER
18,291.9203843181287,289.64641773262787,SAI
19,304.27703753673603,298.64064953698255,SAI
20,310.19845941064426,304.089868896,SAI
21,280.8082544506868,302.17944376888886,PER
22,147.86321988238757,154.97535734872332,PER
23,232.30047898701298,233.24015452598897,PER
24,276.71349792232814,271.2436115637646,SAI
25,,283.08333333333337,PER
