Minisector,BOT,RAI,Fastest
0,294.3113880096323,291.13267721904515,BOT
1,313.48004395789474,313.33020810666665,BOT
2,309.9727608231948,314.082630688091,RAI
3,181.84126799375366,182.4770840515406,RAI
4,225.85193052232702,218.6235908439603,BOT
5,207.61240642180513,198.5477708971724,BOT
6,191.53593713310926,184.31811978487394,BOT
7,216.44678134012648,208.4018469990148,BOT
8,260.1329391432434,257.1553319111111,BOT
9,258.12276183347655,268.4904181208848,RAI
10,173.03516568152438,172.2036036900901,BOT
11,243.18401292227267,240.11969855054883,BOT
12,116.96898852534514,122.6606276037984,RAI
13,232.29307392042494,223.48980528649028,BOT
14,280.60284101818183,278.0461816496232,BOT
15,283.3627148066416,294.6701700368254,RAI
16,202.80831247553365,212.75099290920633,RAI
17,185.3456174401494,172.95988969971657,BOT
18,273.8160457606625,266.3060301909183,BOT
19,301.5174804837571,298.9621757465519,BOT
20,314.80630952380955,313.3959194113577,BOT
21,310.97184508190475,315.61020842666665,RAI
22,262.7469549938087,282.5657209212121,RAI
23,118.83280271890143,116.44372180138963,BOT
24,248.22396413833212,235.2467939630566,BOT
25,279.0500032,276.3416661333333,BOT
