Minisector,GAS,SAI,Fastest
0,274.1010799162134,276.10291810805194,SAI
1,118.10497141013326,121.45006656941369,SAI
2,163.81471088435373,153.7958622176064,GAS
3,196.79913601928004,205.10389968556044,SAI
4,163.88082010582013,153.54172223234613,GAS
5,237.08920373046678,235.35774270712497,GAS
6,190.3188023088023,204.79076829065255,SAI
7,134.53667613217428,131.5671581119964,GAS
8,237.46006728778465,235.43684210526317,GAS
9,285.4418650793651,281.79211495376353,GAS
10,279.8534126163823,284.9822577566005,SAI
11,148.44763611895482,155.45824420056522,SAI
12,225.55246183231395,218.44950568883868,GAS
13,278.9879365079365,274.1928811928812,GAS
14,259.5158547640211,259.68625931882394,SAI
15,100.97221361612029,98.1357872054801,GAS
16,225.90309558179894,222.4144502206011,GAS
17,295.0698979591837,286.3829761904762,GAS
18,316.8912685526842,309.252081241429,GAS
19,325.2020238933334,309.1930165959184,GAS
20,327.98125,303.25852272727275,GAS
21,257.811135495982,285.4642467827634,SAI
22,145.29055324781675,153.69409236006015,SAI
23,236.84497937496167,234.55757136539637,GAS
24,283.14347625433,275.0019446254442,GAS
25,298.0,280.53333333333336,GAS
