Minisector,VER,HAD,Fastest
0,243.40965125587303,248.73335719963148,HAD
1,139.7420807821131,132.27060958148428,VER
2,280.0404319040353,279.36643876063494,VER
3,308.8107269164886,320.7228609594342,HAD
4,286.43489622888416,298.6464783551323,HAD
5,315.3098398874074,318.4849835409636,HAD
6,321.4435557861696,321.9217128237037,HAD
7,313.4829764796537,314.22944759590246,HAD
8,198.11539905896467,195.33270360583546,VER
9,192.7685652517203,192.31810976366012,VER
10,178.81326336669588,188.20043141130859,HAD
11,169.79031568843098,159.88263297416782,VER
12,240.82504665259887,237.9659497807782,VER
13,258.110362356934,261.0465126036399,HAD
14,267.5723391107175,271.73145817075175,HAD
15,247.09811303761083,262.9065307716129,HAD
16,177.73982889108996,167.59181022714034,VER
17,188.81525902356154,183.55277118277743,VER
18,234.80864196158268,242.44212724712372,HAD
19,291.40059285314567,300.37073110071265,HAD
20,319.14155053592253,322.593519515951,HAD
21,303.654763658746,313.4782606879227,HAD
22,280.2148214728192,301.29562562076245,HAD
23,243.9859483534808,261.0761027501919,HAD
24,122.82858746015414,115.38782726007979,VER
25,,219.0108319288889,HAD
