Minisector,HAM,RUS,Fastest
0,325.52435199818086,326.1882654585034,RUS
1,334.4604630602385,335.38827164444444,RUS
2,338.0723322709915,335.7666019422679,HAM
3,194.33689479111112,196.5199611364345,RUS
4,135.1168648122673,125.84563179567611,HAM
5,265.9595104884656,268.03345716043424,RUS
6,301.69943473902475,302.4793732239506,RUS
7,318.61387434301616,318.70966588322983,RUS
8,281.9876959240514,274.1154882569697,HAM
9,142.92033550209604,144.22072531110976,RUS
10,231.43905467790657,222.6552383330994,HAM
11,234.03500244605246,231.67949666717064,HAM
12,207.15255671988822,205.12401183899013,HAM
13,269.3903003924387,272.7893604264218,RUS
14,307.26145192565417,308.0604949316248,RUS
15,325.49287827482993,323.5551337447619,HAM
16,276.4719768560501,265.3340404061111,HAM
17,214.4454999605346,223.06474475752654,RUS
18,280.3949155652896,282.4557581643653,RUS
19,311.49707143585374,312.14622058251234,RUS
20,326.36749404559885,325.9541480949357,HAM
21,319.64557296,307.7486984938979,HAM
22,214.41963479571427,215.58823975794877,RUS
23,271.5194623037441,270.43316266125714,HAM
24,303.97361771730715,307.2864868540488,RUS
25,312.26499904,319.1562512,RUS
