Minisector,BOT,VER,Fastest
0,299.63077289689863,313.5577490863079,VER
1,256.473633237357,255.28633198933335,BOT
2,206.43973042748584,198.15013656046753,BOT
3,268.2324823990324,263.0976601041115,BOT
4,232.91086275808013,237.12969877050887,VER
5,120.13894721525126,121.58652083232927,VER
6,186.4985680945533,182.23881300208254,BOT
7,260.3335592467559,256.41255673289226,BOT
8,288.8165651824973,284.5474304985713,BOT
9,302.7560567480626,297.71154705489073,BOT
10,305.71267345222697,300.665284267317,BOT
11,226.9065046606665,232.31333097540556,VER
12,146.40563560298574,144.79990901851104,BOT
13,255.967326752197,253.38409637481874,BOT
14,289.86559847005424,286.4720490433461,BOT
15,300.97179482557885,298.5892957181095,BOT
16,295.5488558327831,293.2950731466963,BOT
17,271.58183491742017,273.83308309563023,VER
18,194.57285096621126,195.15479173976675,VER
19,194.10825103340323,199.12140194203542,VER
20,191.01055244320315,182.8824558095878,BOT
21,252.4763853313687,251.33767055872053,BOT
22,129.62958706214403,134.62443829709434,VER
23,197.96695056897644,188.0305969865964,BOT
24,276.4715993461131,273.4906081128678,BOT
25,,288.6910715428571,VER
