Minisector,STR,SAI,Fastest
0,281.4060509651452,279.72748651779284,STR
1,254.07522802174384,241.6112927780246,STR
2,270.27481834836533,274.1283419143341,SAI
3,286.303703762963,290.96949863851086,SAI
4,126.33684512830591,121.34469263622398,STR
5,206.14769856754916,212.52567219268005,SAI
6,265.6655150268138,274.02874325071554,SAI
7,289.5172018507411,305.7863401632364,SAI
8,301.7464776039017,321.94820205947724,SAI
9,308.05,328.77189901494586,SAI
10,297.4713584,290.6056563620944,STR
11,105.40143953890832,96.57046441637486,STR
12,220.22400447075668,226.2379755971484,SAI
13,269.77967100216046,275.5278846516609,SAI
14,277.0266027485293,266.20679149689494,STR
15,128.382605183746,125.32601463940436,STR
16,200.33980822465216,199.66144487513927,STR
17,254.6240415937106,256.8552332280744,SAI
18,253.89262516490982,256.3640354807018,SAI
19,248.48818483969424,249.7364687757821,SAI
20,148.65827844810494,139.65180467307854,STR
21,182.60809098940402,195.39314878853375,SAI
22,170.34115997807595,166.22942675327297,STR
23,188.0161594690906,191.995175754212,SAI
24,247.07847071737547,254.2036886561732,SAI
