Minisector,VER,PIA,Fastest
0,290.1416901457385,290.41053708246915,PIA
1,298.2397934125913,299.24690127058824,PIA
2,301.63657413333334,303.08697476302524,PIA
3,299.60027732848494,296.1307587994771,VER
4,165.1944414646563,165.90274750505708,PIA
5,212.2003201218059,204.74004653022533,VER
6,239.23838095450506,228.88640879359428,VER
7,266.756499656268,265.47055918259485,VER
8,243.28477126271767,250.42000689594903,PIA
9,157.52861612871328,162.70072325004787,PIA
10,220.49547801172892,223.45081957225028,PIA
11,130.20214364375803,129.11059555835624,VER
12,224.13955394318842,228.17252329416638,PIA
13,179.00831994799307,175.6394211937053,VER
14,212.0019142250038,213.2835261511185,PIA
15,243.63555318883874,239.67917414920973,VER
16,261.573338237927,261.65666574222223,PIA
17,286.25344031686274,284.9667233016002,VER
18,150.29696284379747,161.3433305270242,PIA
19,160.9003855833214,166.70318636178862,PIA
20,136.37673928652393,138.8451234876295,PIA
21,226.95010581712233,229.53011928533334,PIA
22,262.1177084248889,260.2691331099385,VER
23,252.68458225406658,251.1191298426374,VER
24,275.2927664740741,272.30572961714245,VER
25,285.24250048,284.7142857142857,VER
