Minisector,PIA,HUL,Fastest
0,294.8250775026455,298.76208661333334,HUL
1,300.53209557909224,301.9378840647037,HUL
2,161.56704089489176,148.6111467927778,PIA
3,223.30760598152125,222.93643777601434,PIA
4,279.1006942532628,280.45586180190475,HUL
5,309.90722572284466,307.73229200000003,PIA
6,318.2020384866558,319.3014717501141,HUL
7,163.84423013398268,139.3965500358499,PIA
8,134.52900933754086,130.36810645649737,PIA
9,254.70982395705627,252.8048784846561,PIA
10,298.37084754294443,293.88110460340226,PIA
11,307.4201771228466,304.94914295529406,PIA
12,142.92263831283287,139.2898295353732,PIA
13,190.7451268718198,196.0670469461157,HUL
14,256.60525914164805,255.56687525164023,PIA
15,201.21151215901244,199.08541641997547,PIA
16,218.096707776,215.894589395671,PIA
17,219.2154326010158,204.81184540054122,PIA
18,248.26233265198096,240.28225929076024,PIA
19,279.65342496925285,276.34743163040935,PIA
20,295.2196364362696,290.3820793652288,PIA
21,260.40965069485713,249.66211440104576,PIA
22,222.38201312137,216.0408756291209,PIA
23,205.0471583040747,204.2368621553778,PIA
24,270.5443159563772,264.1707048298175,PIA
