Minisector,VER,PER,Fastest
0,286.5438667929051,303.91072531131414,PER
1,296.0463769043478,319.2569443047619,PER
2,285.9299633073819,310.23726986303853,PER
3,119.28146519910611,109.60077783570681,VER
4,221.0231201032258,221.3407248172043,PER
5,273.5369121461883,278.3272172153964,PER
6,228.02110755555557,232.52277952,PER
7,161.9495100261932,157.37587895344097,VER
8,217.65238032380952,216.28715517542244,VER
9,221.21885651247146,225.13549734376357,PER
10,122.84848295110257,120.23201061400448,VER
11,223.25206422349208,225.48055516444444,PER
12,128.31904192529282,127.33592983927305,VER
13,225.18311708444443,222.75131667396562,VER
14,277.6345719832381,276.97166640761907,VER
15,231.0734847074996,229.34008738574713,VER
16,192.75490321568628,191.6805550814815,VER
17,245.95637925910884,251.54675921382716,PER
18,210.9526863139785,215.97244762150535,PER
19,182.2806443995327,173.73257603865315,VER
20,263.8660497414319,259.9132338647063,VER
21,285.3433841856502,281.47577641909703,VER
22,181.90889112471663,183.3369452851781,PER
23,214.12619252596008,210.42234766868688,VER
24,268.7772049759504,266.85178855500226,VER
25,,280.0,PER
