Minisector,BOT,OCO,Fastest
0,265.64967938461535,259.68195693524035,BOT
1,252.6031937241925,239.2350978503401,BOT
2,173.24304245283557,159.31001238498462,BOT
3,250.6378558018405,245.22547953813702,BOT
4,276.6744790920635,268.56983327085715,BOT
5,193.44096944021908,186.18690517333334,BOT
6,127.19294244277317,121.09792780883846,BOT
7,165.55943307515858,153.39265866666668,BOT
8,262.6650395704632,253.25432642461539,BOT
9,183.6830368,178.57785111578949,BOT
10,189.6496733742095,175.45593605774434,BOT
11,260.6853807725714,252.40966660266665,BOT
12,242.3147903916975,233.65728086123275,BOT
13,263.31480924038095,255.94743577435898,BOT
14,288.1408014041805,283.3303046062374,BOT
15,287.03083997083354,283.8445652405797,BOT
16,156.31470287539085,144.0570126007371,BOT
17,245.66040489876542,232.79654173272655,BOT
18,288.29249054545903,280.379835832824,BOT
19,300.2033530801674,295.41739130434786,BOT
20,305.00795447272725,298.8440901108295,BOT
21,308.75122751304775,299.2295454545455,BOT
22,152.40457895196297,158.02676588007998,OCO
23,98.35445079555426,92.04355454073034,BOT
24,184.89509012683752,169.75268122326506,BOT
25,246.16418138561,240.96428799999998,BOT
