Minisector,VET,GAS,Fastest
0,269.34226224761903,262.1746533361165,VET
1,133.1527647233081,134.83518092320585,GAS
2,189.55119020288296,187.21899857492448,VET
3,244.9686952241037,239.31696396190478,VET
4,264.8905023701038,259.87425346647944,VET
5,180.46834909358407,196.9938958960458,GAS
6,142.50968577079524,142.996186674266,GAS
7,181.0497347403224,176.30575488609173,VET
8,100.61759170747017,102.81257463477243,GAS
9,74.28042562703955,77.20354223044161,GAS
10,92.80726406280677,90.62698838925174,VET
11,171.10204115392185,161.92366123686298,VET
12,243.06054292619612,237.20611131259258,VET
13,271.45641066666667,262.9630977776779,VET
14,282.8998751414233,278.40316191876315,VET
15,114.93294719014311,132.78756025076584,GAS
16,139.0366812577581,118.14777601674518,VET
17,191.8842917240482,191.1960876764314,VET
18,195.73556114055677,185.4477623304475,VET
19,224.70202489923065,220.61612769628474,VET
20,130.44184207842662,130.16212647247585,VET
21,120.01939728700124,127.98769037972636,GAS
22,88.49709114389705,81.76374016596301,VET
23,189.4277809777778,179.31604872959772,VET
24,250.75690405682263,240.65831407318746,VET
25,,257.6374976,GAS
