Minisector,VER,OCO,Fastest
0,283.4477460723824,284.28419855875853,OCO
1,256.82925114173327,242.36459073361263,VER
2,271.02640222399566,267.6863896332362,VER
3,285.7578431372549,277.6388901925926,VER
4,139.67639419753544,127.29677190742972,VER
5,209.51515844143066,210.4692868639123,OCO
6,263.815685731926,268.55980114115914,OCO
7,284.9750179998168,290.7140348856721,OCO
8,293.08243323999,300.46999992888885,OCO
9,296.4398866083541,305.1857171518294,OCO
10,288.8713254901961,295.7089266934931,OCO
11,105.48422249835056,105.12265594032634,VER
12,220.47663188475536,204.83468668116657,VER
13,270.3466673497014,272.6195404038483,OCO
14,275.24053924313375,281.5438045702904,OCO
15,134.9038486317045,134.11014405350917,VER
16,214.4778552869872,201.51641466013893,VER
17,260.24212744401314,254.79747888138445,VER
18,263.9391697575667,252.83482202666664,VER
19,252.90727317480827,239.2752541611491,VER
20,153.76476745713072,150.16554328096882,VER
21,197.20416766917384,183.35115729621648,VER
22,183.99356419419817,171.5100526880458,VER
23,198.79613249818115,182.50701059122136,VER
24,253.058552477193,245.9964541740676,VER
25,273.7714304,272.2499968,VER
