Minisector,SAI,GAS,Fastest
0,298.03828059300486,286.09069727625973,SAI
1,315.3808213883752,297.57541558257384,SAI
2,324.4048950601399,303.5252714801542,SAI
3,317.0890256853666,289.048529132549,SAI
4,159.87688734078267,170.73971332063493,GAS
5,202.0953285491619,200.44744455111112,SAI
6,232.0854490825143,231.91005872803055,SAI
7,267.0660056778698,264.53882352941173,SAI
8,237.98628201904762,247.6238270596097,GAS
9,155.07624729844943,160.47732891766134,GAS
10,220.48631631313657,221.17044979422903,GAS
11,127.79178629024024,123.68185743322752,SAI
12,224.29406992236594,226.5597121360809,GAS
13,179.1919741312476,177.97570583395074,SAI
14,215.57859061261277,209.0491931273707,SAI
15,232.54483023627853,234.903125015873,GAS
16,259.4784173017687,260.2960462417305,GAS
17,286.40836697181487,283.2588888888889,SAI
18,157.63388933460317,150.96851366093674,SAI
19,160.54731992681675,161.40686545762838,GAS
20,139.09176426046167,139.1042107855479,GAS
21,227.96162560737812,225.60776743480983,SAI
22,259.455166746936,260.38139739912987,GAS
23,242.80877682978354,243.6343455053601,GAS
24,273.31000099647906,270.79975612485225,SAI
