Minisector,STR,VET,Fastest
0,304.95978258550724,302.7381943111111,STR
1,273.3341657303837,281.4122896364307,VET
2,161.52091152087115,171.4738478709144,VET
3,199.76151032563544,198.68373362555607,STR
4,233.42732666645753,229.1826614777435,STR
5,269.83763873284175,269.9695113268514,VET
6,216.63238781665675,223.04677131172122,VET
7,204.66658734538615,204.4285346909091,STR
8,147.73945995723977,151.2574066696533,VET
9,194.27349982685774,197.58884055289815,VET
10,165.20889192710843,171.2509291516669,VET
11,219.7031236817401,219.4101480845556,STR
12,223.5711742252023,223.13947118824453,STR
13,171.19001243701888,174.18651271863334,VET
14,256.7254986711024,255.33433973919412,STR
15,278.0424603174603,274.0956901366366,STR
16,262.71169870769234,261.6008014769231,STR
17,252.24147122779846,251.31968581069012,STR
18,251.9411107395466,255.88394998518518,VET
19,239.2101892231873,244.3271874416936,VET
20,266.27,267.15203258065105,VET
21,218.30775348741295,181.2677502408235,STR
22,238.13005888860005,243.06353482610228,VET
23,275.8012182129896,283.4915808144747,VET
24,296.01231884057967,296.99994543397673,VET
25,300.85000106666666,,STR
