Minisector,LEC,PIA,Fastest
0,293.97300151466675,290.41053708246915,LEC
1,304.5235118899471,299.24690127058824,LEC
2,309.29059748289245,303.08697476302524,LEC
3,308.8810382747942,296.1307587994771,LEC
4,167.06415892978822,165.90274750505708,LEC
5,207.42512944963818,204.74004653022533,LEC
6,234.2601463709091,228.88640879359428,LEC
7,267.2745168002457,263.8818013766256,LEC
8,241.7249480493582,252.90304982093897,PIA
9,156.4638931921181,162.70072325004787,PIA
10,223.506949543416,223.45081957225028,LEC
11,128.02585427345625,127.80288190993502,LEC
12,227.4945454523356,226.19526009391507,LEC
13,183.78119974748344,176.00629778659166,LEC
14,208.540223547046,209.82519281778517,PIA
15,239.96815403797297,239.92084270545456,LEC
16,263.17975762077924,260.6580671117165,LEC
17,289.42433022380953,284.9667233016002,LEC
18,150.3172752415154,164.4296324849632,PIA
19,162.48849662752207,163.58511798798276,PIA
20,139.58258813767114,136.35282304118724,LEC
21,226.78482815306424,224.81836782730156,LEC
22,263.0767046206784,259.7556764544416,LEC
23,247.44620536034634,250.80961036067094,PIA
24,274.87380866528065,271.40539258083993,LEC
25,,284.7142857142857,PIA
