Minisector,VET,PER,Fastest
0,259.6154458542846,249.08804757505538,VET
1,300.72642291127465,286.4496881777778,VET
2,174.853126849929,173.63032283697478,VET
3,166.5656295765518,161.2510479869633,VET
4,259.4480357942857,257.3222449487528,VET
5,268.5890937792245,272.585161005759,PER
6,224.38237206153846,227.21671256263738,PER
7,199.0574409322571,201.11723206641653,PER
8,158.5844106213642,155.29266018748575,VET
9,222.4589178062861,219.74437828500675,VET
10,275.2999374275689,273.19022115555555,VET
11,134.39182191635612,129.86522148895642,VET
12,221.7773829121398,219.06913297384594,VET
13,282.3942461968254,277.8727323356009,VET
14,304.3893546799019,298.59729193904764,VET
15,310.57523176296297,308.4067575122601,VET
16,241.8866660266667,221.07460926493764,VET
17,130.82265250294665,129.843474586299,VET
18,133.4126704253968,132.63750548344052,VET
19,121.83685040329426,119.51592001273067,VET
20,224.7307623862857,224.470667264,VET
21,250.37770597543772,252.53237188929305,PER
22,236.61718778514285,218.56913434074073,VET
23,219.79124951583495,200.86734797922372,VET
24,134.4963148580139,135.045546369855,PER
25,221.93333333333334,,VET
