Minisector,PER,ERI,Fastest
0,282.8156804121301,284.5951243144697,ERI
1,241.32086097737005,250.17950319865471,ERI
2,267.8027777408238,271.3774572535277,ERI
3,277.21957294552135,285.79776842857143,ERI
4,127.10789773993712,129.52290445068894,ERI
5,214.34733214717994,213.46770878282277,PER
6,267.74008904820494,268.5842792253424,ERI
7,287.42852639160185,297.3654481193844,ERI
8,297.17156856470586,312.7574509626544,ERI
9,302.43571976576817,319.83925236658496,ERI
10,302.9841652799479,276.7805146837332,PER
11,110.97682282333173,101.69878186962549,PER
12,212.19543589382502,229.36192245406778,ERI
13,270.84614927423655,278.67763243592447,ERI
14,281.0895786039642,248.12304335041642,PER
15,131.71344126712364,128.86469942267766,PER
16,201.7111303382221,208.0259380843244,ERI
17,257.9356028742013,262.91830298236044,ERI
18,254.15596695020741,238.6935901968347,PER
19,242.79909125673674,243.46447259167948,ERI
20,145.9183170881957,133.27848247442526,PER
21,188.3771388176517,204.58815184974293,ERI
22,176.87657023326895,166.11129113966544,PER
23,182.90625357033974,192.10462992471952,ERI
24,250.73488082285712,256.70914563669874,ERI
