Minisector,GAS,TSU,Fastest
0,292.04598304409853,304.0512750248539,TSU
1,303.43993961430294,320.07628303265676,TSU
2,272.98093623210343,306.0425272180451,TSU
3,104.59820507410662,103.49258622274071,GAS
4,219.92952395016096,217.40053279963553,GAS
5,272.73181192762416,278.81261615472596,TSU
6,206.34809656470412,199.10149813877595,GAS
7,157.82998940814124,160.20717147292962,TSU
8,211.59905170370965,202.85183809818957,GAS
9,214.77108111578727,216.13009690115973,TSU
10,113.49880061770968,113.69431871997406,TSU
11,227.1137223644181,223.60093842064072,GAS
12,116.68465854995188,118.24547491148329,TSU
13,225.41181127602422,216.01053748641758,GAS
14,277.3154426141799,274.2445020523308,GAS
15,215.573577981277,220.4685924008216,TSU
16,189.47689490928818,178.122496135773,GAS
17,250.522489668461,241.95087851594204,GAS
18,190.0441779669262,191.598131701443,TSU
19,181.78654812520637,169.68616295636338,GAS
20,261.9244599589925,256.5753649744106,GAS
21,290.59288798718615,286.97365992698576,GAS
22,173.42206656028998,157.2468675977505,GAS
23,206.89751253795094,198.96344364375182,GAS
24,270.1104622420756,269.03324738873084,GAS
25,,283.55000106666665,TSU
