Minisector,RUS,SAI,Fastest
0,274.15214708844377,267.4814833533333,RUS
1,308.4852278630065,297.8893619755742,RUS
2,322.9107841172747,316.48498987779595,RUS
3,332.69482970151176,328.5265731257582,RUS
4,337.8903569980952,335.0606289807163,RUS
5,340.8097833943178,334.4934703798601,RUS
6,192.64638350513562,218.32838094851826,SAI
7,105.76639471403917,104.36691104639371,RUS
8,188.33887368989153,186.596277209441,RUS
9,262.4194090321085,255.07162395009522,RUS
10,297.6313982501842,282.7029160914286,RUS
11,170.52137027094693,162.05348572873564,RUS
12,97.78186513936939,93.53301424354672,RUS
13,123.22249855869319,113.65545461480647,RUS
14,221.3102455222654,210.56003011232323,RUS
15,186.82798563747787,179.34813402126986,RUS
16,227.33190281544253,221.4985959543195,RUS
17,181.58203217428573,174.031214973592,RUS
18,240.77537076210524,231.8278061201272,RUS
19,280.6857785566955,273.26406635864873,RUS
20,243.38844653116428,239.91338715308268,RUS
21,144.0283307176719,145.21982034736914,SAI
22,95.67394539117862,96.83871415307013,SAI
23,127.27766929563036,122.05521758621921,RUS
24,224.37289607111111,218.19936209888198,RUS
25,,251.25,SAI
