Minisector,NOR,VER,Fastest
0,325.9578537876946,322.6476197194333,NOR
1,334.5781973586472,331.36414021563115,NOR
2,338.1851417150113,330.7948333333333,NOR
3,195.12510126690057,203.3145887839725,VER
4,131.8287081748818,131.02246961708985,NOR
5,267.50074008683845,267.7181335496948,VER
6,300.5990941473809,302.3260575612121,VER
7,317.7474267574269,314.5872158884848,NOR
8,281.145386344127,298.9521247346939,VER
9,146.98737126728892,152.27066978316316,VER
10,229.08348523902643,226.12576752870768,NOR
11,234.78333921168314,229.1513900627866,NOR
12,209.0828739703266,207.11138232013803,NOR
13,273.0878974566397,268.73462507936506,NOR
14,308.33527398299054,306.35834003285464,NOR
15,325.2659672875863,320.3008977970909,NOR
16,269.6460819994111,282.81069913196444,VER
17,223.24730491199597,219.66091312207257,NOR
18,282.1400654118518,277.80803329013025,NOR
19,312.9223168263045,307.7024801333333,NOR
20,326.17598102405105,318.0781085968254,NOR
21,315.6141597790476,318.4654992627151,VER
22,215.26225605446493,216.3759301629903,VER
23,271.38212206279945,261.7323006582073,NOR
24,310.1132922467219,292.00181731246374,NOR
25,,304.008,VER
