Minisector,VET,STR,Fastest
0,306.8757593212121,319.2011054367347,STR
1,162.19166740666455,161.20456233650793,VET
2,164.19592126871743,195.13738393547197,STR
3,210.39488031899046,158.79454204288572,VET
4,280.87922860845583,277.56340660869563,VET
5,298.38679109185955,307.3271693083588,STR
6,151.01467905852078,154.94103484750946,STR
7,140.848924871978,134.6090156753803,VET
8,164.49945780408828,192.1071630593831,STR
9,155.845714706715,124.79430756158976,VET
10,138.08027205129272,162.61039272893026,STR
11,129.146442986224,133.37962773827,STR
12,151.09965799179622,121.50683966181995,VET
13,261.5499135555555,250.51786727909527,VET
14,290.0327941646508,284.8498626696752,VET
15,156.86934417777778,193.8299719993335,STR
16,209.19423022053277,171.17168773221536,VET
17,155.23183074289884,150.88765062222222,VET
18,264.9690398095238,248.40381887107827,VET
19,289.08513783775015,292.55778006272664,STR
20,303.02341737835496,305.3535413866667,STR
21,314.01812501333336,320.15595215238096,STR
22,317.7177633395111,328.2778986342008,STR
23,329.3936608457143,340.5833330526316,STR
24,334.4936251077459,339.05187643405907,STR
25,330.3083338666667,,VET
