Minisector,GAS,NOR,Fastest
0,308.1671951601793,331.88386811108234,NOR
1,236.53392401507259,230.72164564636998,GAS
2,138.36779629854186,137.14870149881352,GAS
3,221.29338647606815,225.14940669219067,NOR
4,264.9211996349793,267.30673437334,NOR
5,290.8878866601117,292.9789838546845,NOR
6,305.6902815445364,303.86624121441713,GAS
7,283.9615150573575,267.3965826091903,GAS
8,176.27634788857736,168.85376041490932,GAS
9,242.93462156182073,244.691733420154,NOR
10,277.2153158972096,274.32236087420114,GAS
11,259.32084427434984,255.75447546069387,GAS
12,204.39516181285617,211.24944962687252,NOR
13,131.4243110420325,129.86534776010615,GAS
14,123.43054292000646,126.06773190773332,NOR
15,165.51241968012494,162.5305556265187,GAS
16,124.79093521056956,127.51315639102137,NOR
17,226.57553187766413,236.49794096413285,NOR
18,188.50863617511152,174.59145044654565,GAS
19,164.78591122085456,172.61560833818675,NOR
20,249.7618524881719,252.2165126998154,NOR
21,279.4822929093231,279.7593228645687,NOR
22,294.01124107659996,297.88704163816243,NOR
23,302.12777799111115,308.1816336145106,NOR
24,305.55503363438004,313.8044444444444,NOR
