Minisector,PER,SAI,Fastest
0,307.7057984,317.7257647455782,SAI
1,156.5273537076302,155.76967094573644,PER
2,158.19164621440038,160.10344959332494,SAI
3,205.15458817354727,202.8489660837561,PER
4,282.9925520265895,283.2494313606625,SAI
5,298.4981066666667,297.228976630303,PER
6,151.54578044803733,144.75143902673216,PER
7,137.30993154883672,138.56662423143095,SAI
8,160.45145925436427,164.84347761933833,SAI
9,161.5537328557246,151.87507474292102,PER
10,133.8545862248676,137.43218506298223,SAI
11,128.81377505682607,133.88056864277328,SAI
12,149.39896949744187,141.1407407036404,PER
13,261.3037196591618,258.2945085138589,PER
14,289.7543177291007,283.173572706411,PER
15,153.46746434949338,159.58601419782025,SAI
16,214.39428864367818,204.94931912756763,PER
17,151.3615169268511,155.9898858073853,SAI
18,263.523515945736,259.7674968899054,PER
19,291.7107953454545,289.69491315670996,PER
20,303.7721874133333,300.93443904517244,PER
21,314.0602101727671,311.46999989333335,PER
22,319.49062517333334,316.54523804444443,PER
23,324.44358087692115,321.14791233411086,PER
24,322.65947441269844,317.43250016,PER
25,,311.89166720000003,SAI
