Minisector,RIC,SAI,Fastest
0,319.0270186136646,316.29311873469544,RIC
1,326.11136373333335,323.9634056347826,RIC
2,322.2665631072464,327.33134923174606,SAI
3,193.3140869175101,211.04041962286067,SAI
4,116.4502825633475,113.37259186315347,RIC
5,264.7125501590819,260.95406741105575,RIC
6,300.8456931097432,296.89105697315927,RIC
7,311.88876823188406,312.9461228363978,SAI
8,274.8883319933509,291.0907475294761,SAI
9,139.39541771573892,140.0824637863653,SAI
10,221.6054244235518,219.13838448484847,RIC
11,216.15252539879634,209.42880730768098,RIC
12,192.6915492778303,192.9361547380449,SAI
13,266.24856215123225,262.17263990748296,RIC
14,303.4730869238572,299.0737316637681,RIC
15,311.7875517283644,316.8036232811594,SAI
16,259.08684452037437,271.5774272451499,SAI
17,205.3925887207934,192.20198463815578,RIC
18,271.39559370282694,264.2211484772205,RIC
19,305.9310039850932,299.1919625958041,RIC
20,318.8538823566912,315.7202896695652,RIC
21,307.9493064888889,312.50617954633714,SAI
22,206.86811400293732,202.296296,RIC
23,262.9901779047619,258.3265365062788,RIC
24,300.03869608766496,296.16274765714286,RIC
25,293.1499968,308.17916693333336,SAI
