Minisector,NOR,LEC,Fastest
0,322.22814069943473,316.404809053705,NOR
1,319.4497992072804,313.02758877428573,NOR
2,169.95047516814947,163.551328509575,NOR
3,163.74573246476191,166.94812681771037,LEC
4,200.48259446194243,203.29966224761904,LEC
5,150.32876751324682,149.52766992669476,NOR
6,207.16824905627982,210.35485116845,LEC
7,272.6069833743916,274.12698005333334,LEC
8,293.0217024795592,290.7403014135873,NOR
9,288.96514733803923,282.21490643361346,NOR
10,240.00432407685884,242.48009117654922,LEC
11,241.10552996692786,247.63781530054155,LEC
12,220.42458668654245,216.77428186046401,NOR
13,174.7665390971492,175.89082473244446,LEC
14,142.02820744701768,137.9629396784187,NOR
15,133.70627446133105,128.7423819678417,NOR
16,207.14592621714286,211.87471040213896,LEC
17,272.17052913015874,269.0781883524812,NOR
18,200.98616366506667,191.3661788049455,NOR
19,114.38360308569008,117.27601255000712,LEC
20,212.3542848914286,208.05516969373738,NOR
21,189.05060596236558,193.5822505050035,LEC
22,252.6782899321905,256.3371276547971,LEC
23,276.3172021285714,282.02696798814816,LEC
24,303.0339587131345,308.12255182297963,LEC
25,313.0,,NOR
