Minisector,NOR,BOT,Fastest
0,323.27377531049916,327.9732138320347,BOT
1,326.53958332121215,340.5954646058957,BOT
2,322.36136378181817,344.20439683780097,BOT
3,199.35076321187304,210.0826093121693,BOT
4,115.83246220339517,114.52714584323472,NOR
5,267.4828997123643,265.00600587624456,NOR
6,304.47331614634635,300.71041617777774,NOR
7,315.3447464347826,311.3081520231884,NOR
8,277.7711205313269,279.0475345382716,BOT
9,140.35929599394385,138.46282578823528,NOR
10,218.12999090999284,220.91381424945018,BOT
11,207.72612891434224,206.41670033389357,NOR
12,192.57576738245615,192.39127284649967,NOR
13,269.71498555367737,265.9578739809524,NOR
14,307.2625773581781,300.600074456661,NOR
15,323.2529810591721,311.5514491362319,NOR
16,263.2294110137566,281.13155535657876,BOT
17,198.380324777669,193.07783042471044,NOR
18,272.5965381813051,264.9122140380611,NOR
19,309.30941670273893,304.7597216,NOR
20,323.3698862060606,316.41086942608695,NOR
21,303.8848972888889,313.9514504347826,BOT
22,200.45095554202987,206.18588659362285,BOT
23,265.69597040878864,260.51486545077097,NOR
24,305.0250543281404,304.31811506086956,NOR
25,,319.20555448888894,BOT
