Minisector,BOT,STR,Fastest
0,271.9114151786667,273.26289717772005,STR
1,109.69588035089699,118.43205919174214,STR
2,163.67837566164874,157.12734640768758,BOT
3,191.66802364775708,207.04113251335173,STR
4,154.25043157197885,155.55394438398636,STR
5,238.77259372457812,237.96740336922304,BOT
6,188.22577056841612,203.7163992886019,STR
7,129.6805756825918,134.88411946145,STR
8,242.31340758036632,224.9709802213654,BOT
9,281.20831766552385,270.3038985930159,BOT
10,282.2022595453968,266.7776591522485,BOT
11,140.37754200555415,137.05379382777323,BOT
12,221.37538042828282,220.5561295847619,BOT
13,266.05478742290023,266.16234544941176,STR
14,249.5312241136508,247.8908335649524,BOT
15,95.55094505204166,97.98261413628107,STR
16,222.36168665044207,222.8855696365714,STR
17,274.20086626939906,273.5313508258518,BOT
18,303.557250752,291.36815689752376,BOT
19,320.4664051646984,302.4184663053051,BOT
20,329.85601815836895,309.08338741898103,BOT
21,287.94598609428573,244.89233603232321,BOT
22,137.7432622274511,141.71102013878345,STR
23,234.50606310398751,235.3927635843386,STR
24,284.58124435555555,275.6264831226593,BOT
25,298.3312496,,BOT
