Minisector,HAM,GIO,Fastest
0,317.2037499352381,317.37105996190473,GIO
1,323.55041664,321.08981478095234,HAM
2,325.7548245333333,323.7887633156944,HAM
3,173.57364994800514,170.59287897555734,HAM
4,140.19400462414194,136.18330991715254,HAM
5,270.85117226748736,266.85433991111114,HAM
6,298.4028143768522,297.271967061342,HAM
7,309.88083322666665,304.00312490666664,HAM
8,261.88739051959413,251.37112252392814,HAM
9,163.580154059243,153.81995400761906,HAM
10,233.9430611569097,215.47535756254445,HAM
11,238.60569959267397,230.13148069135804,HAM
12,213.69454306933415,197.52555291362305,HAM
13,276.40731102709645,272.8160976,HAM
14,303.83757152701014,303.31964266666665,HAM
15,316.98564361539565,311.06077381333336,HAM
16,266.9102912380952,245.089218414652,HAM
17,228.29019317650273,216.55861929195402,HAM
18,281.74477854199137,277.9139114203918,HAM
19,307.22073657182113,305.6808925485714,HAM
20,318.1139582933333,312.56071415873015,HAM
21,303.22297000731277,288.3026503090157,HAM
22,227.0838650473145,208.75379052517005,HAM
23,276.8112079070449,268.1464927455391,HAM
24,305.47192558701215,301.60456294603176,HAM
