Minisector,ALO,OCO,Fastest
0,267.4400053472194,271.0925075177853,OCO
1,112.12865105437528,108.92102209072448,ALO
2,151.78612290666666,158.5015679567075,OCO
3,208.10921234047865,204.1239103179487,ALO
4,155.734159423204,153.51971793587725,ALO
5,239.25245679307017,235.80102257689518,ALO
6,216.8950846565244,177.27748586666667,ALO
7,128.20124112609523,129.32945141190825,OCO
8,230.119109403226,233.37212288,OCO
9,274.330456759299,281.5616530831704,OCO
10,273.1736332444445,278.90089189714286,OCO
11,149.1363320309936,142.05706778673968,ALO
12,221.02899051959596,217.09474064069266,ALO
13,271.15666037502643,270.9751096310167,ALO
14,262.1236992945326,269.92129954920284,OCO
15,101.46560078550054,98.90990343004295,ALO
16,214.07178442519472,214.54620355155365,OCO
17,270.40190500961165,266.24236239780527,ALO
18,290.2565680615681,299.2144987692047,OCO
19,301.3164681656232,314.907985148052,OCO
20,306.385856029025,323.62598169035886,OCO
21,279.5580357142857,288.16548326607045,OCO
22,152.03864484466746,146.72067784654794,ALO
23,233.62029999240525,226.5186664100391,ALO
24,274.7913972548987,279.47878906666665,OCO
25,283.80637830613165,285.0,OCO
