Minisector,PIA,LAW,Fastest
0,255.3130430167693,257.07272363512044,LAW
1,140.12331857822718,134.03212509799204,PIA
2,204.53212554149894,208.1961265432381,LAW
3,249.21795169581472,246.47930254448485,PIA
4,249.86677213333334,260.62675124755583,LAW
5,180.6058698037262,177.72154923634398,PIA
6,149.11971515560634,147.95848399063448,PIA
7,190.6697977447619,186.7796686705325,PIA
8,104.27230839363129,103.87422829866178,PIA
9,72.81734494027859,73.5205762512512,LAW
10,99.21908346686897,96.85795264817115,PIA
11,190.84586676584794,182.85717634127616,PIA
12,249.4444502584127,244.48574971540089,PIA
13,271.38461763662986,265.3319164661052,PIA
14,282.15311247329765,274.3254679642729,PIA
15,116.09885726945542,102.85139482493128,PIA
16,154.7394850479587,155.1795363621759,LAW
17,195.02603336126984,181.99207420836893,PIA
18,200.14270440435237,199.9179427242399,PIA
19,213.73487738057145,217.5820581647059,LAW
20,141.47823814978779,136.1503511362149,PIA
21,114.42442424533444,113.77157615813601,PIA
22,97.97714051295762,97.40139326660304,PIA
23,198.09813879945577,195.33635044028296,PIA
24,257.8868352027788,247.79666612,PIA
25,,262.6,LAW
