Minisector,PER,SAI,Fastest
0,306.3261905710053,302.3381252444444,PER
1,210.69279362044983,206.72065832471893,PER
2,136.44185057324535,139.08684264450216,SAI
3,217.74559006407196,213.59140309952414,PER
4,152.3268646047916,156.8784060807867,SAI
5,171.74237594409277,178.45846482577159,SAI
6,249.8039828088889,251.17416746666666,SAI
7,277.98624473565405,276.9433895529412,PER
8,287.76676489680676,286.2739999969524,PER
9,264.69729106666665,259.7380732207408,PER
10,244.1464697000055,245.75636450933334,SAI
11,243.99836487619046,244.47530675134456,SAI
12,210.15917530848316,207.13011122105462,PER
13,134.24288029984243,133.14410239563142,PER
14,143.24268536154008,136.26722524348403,PER
15,175.86200478620705,178.80646571623933,SAI
16,254.78221137347867,249.3047459261457,PER
17,238.58741322666665,243.296030242109,SAI
18,109.90539307580396,111.75397470169065,SAI
19,192.8183142505301,194.62916861481483,SAI
20,189.38344976143,191.24379937154131,SAI
21,231.3921449772171,232.63647243831934,SAI
22,271.1555288751839,262.3693547611544,PER
23,296.95230354043235,283.68962201745114,PER
24,313.5664732025308,296.47927369238096,PER
25,320.5875008,302.0954548363636,PER
