Minisector,VER,RAI,Fastest
0,270.96468246349207,275.02686635650025,RAI
1,298.24549548513164,301.3763883259259,RAI
2,316.9817703333333,315.8752227904762,VER
3,328.96432543091976,323.76936250980395,VER
4,335.6689682387302,328.87959483207345,VER
5,339.0835938,331.4270833333333,VER
6,228.95367138911752,219.65790994285715,VER
7,108.12847001342439,105.70695545400214,VER
8,182.41062961373606,185.30892601904762,RAI
9,268.4563082819048,264.2894036342857,VER
10,302.0258434202037,294.6944436740741,VER
11,178.33244403946992,177.2827271347096,VER
12,98.78339865214603,94.63662822312925,VER
13,116.38300181962651,114.18718563152504,VER
14,225.3182117161348,223.75049596825397,VER
15,191.7309061108757,182.51522275981895,VER
16,232.81889722371037,219.5769046552381,VER
17,187.33056687455118,181.37935718322936,VER
18,238.87335302034714,234.50113222675736,VER
19,280.44892100048713,278.4017533754386,VER
20,261.5468253968254,261.22564181523285,VER
21,152.1855822043948,142.68190832280703,VER
22,99.40314405921416,96.11018198929767,VER
23,126.67288565913448,124.10170423167125,VER
24,225.40264282671262,226.15781053333333,RAI
25,256.8624992,,VER
