Minisector,SAI,HAM,Fastest
0,291.94788433886623,306.4955321392073,HAM
1,301.2525104695652,320.6289904253968,HAM
2,293.4091954506465,290.9675051275782,SAI
3,111.04308721419794,109.01550404896261,SAI
4,226.39094037394264,234.0841508449654,HAM
5,272.05179369179757,270.68620132041406,SAI
6,213.18546714939004,211.70262011586206,SAI
7,171.1625260474501,168.1013661850866,SAI
8,209.95543906285928,210.1999967960338,HAM
9,222.26242202103975,221.04553179523302,SAI
10,112.98927761979078,116.83628162391474,HAM
11,231.7263834820533,228.00210533898206,SAI
12,116.94371135329946,115.4439116509519,SAI
13,225.55634596943312,221.87411721998367,SAI
14,275.6808334533333,275.61668688217685,SAI
15,233.0369187263944,228.2078563829215,SAI
16,197.31499628193848,202.5449057720068,HAM
17,246.96766041559363,251.89218388050804,HAM
18,208.72884660552114,199.29346588583718,SAI
19,185.54117641639763,186.5314813948845,HAM
20,264.3299404761905,265.2347282036009,HAM
21,289.74507854057845,288.86772495238097,SAI
22,177.9158882704597,168.94220115033485,SAI
23,211.20016561558324,215.7606422679365,HAM
24,273.2211687511688,272.6906220694767,SAI
