Minisector,PIA,HAM,Fastest
0,252.34279182467336,312.3575115940741,HAM
1,123.03914882170844,192.2253825635222,HAM
2,130.71058933272536,107.14237683601155,PIA
3,220.12183935095382,190.15316357187152,PIA
4,267.74814964040405,253.3476546905289,PIA
5,290.47212229012047,284.5082756580952,PIA
6,304.1730246957143,301.2703738045558,PIA
7,188.73720264488364,242.18075069666247,HAM
8,153.5590931129902,138.45995204472814,PIA
9,241.91925666847982,218.4169981045223,PIA
10,275.48529552571426,269.50286972064856,PIA
11,215.75653537881087,243.79265011499118,HAM
12,180.45669254726582,173.88567540172969,PIA
13,97.71299938251728,112.42304083517931,HAM
14,108.32454991152477,99.64736625369454,PIA
15,123.55737342480838,151.23550435385044,HAM
16,128.51356535843138,100.80104383942253,PIA
17,206.9516546864832,194.08448428742642,PIA
18,141.46468959153162,175.38039136068053,HAM
19,166.72636998506792,128.41248082699735,PIA
20,246.2614433226128,229.99501914372635,PIA
21,275.6139814095144,271.31389529335735,PIA
22,294.5276984442936,292.91873171555557,PIA
23,304.33015282488884,307.7335855474405,HAM
24,309.85811240404036,314.59954548363635,HAM
25,311.2791664,315.4591666133333,HAM
