Minisector,HAM,ALO,Fastest
0,295.86896189026714,294.0789772329004,HAM
1,316.7827540749996,314.50679809122806,HAM
2,327.1901318736842,326.3306878306878,HAM
3,332.7868055703704,325.98625673573633,HAM
4,267.3703571488635,261.11648616811596,HAM
5,194.98162710857144,183.76895974659544,HAM
6,255.89003591552793,253.30163014492751,HAM
7,269.3830037905067,278.4183034102,ALO
8,209.3684120538588,199.701911243255,HAM
9,214.33996829782882,205.38490250982457,HAM
10,145.97801771950267,133.43632695407152,HAM
11,247.43428942697847,242.53372763419918,HAM
12,274.5325756121212,268.9287607757576,HAM
13,227.0657653961647,211.4408541024123,HAM
14,261.53473041490685,256.7181663573333,HAM
15,233.54188320548866,222.43115874631616,HAM
16,184.82122306666668,178.4143204302521,HAM
17,258.71578841036546,253.9693072967501,HAM
18,150.81065697746806,151.09447895013494,ALO
19,209.87829900013028,198.72892188361627,HAM
20,268.9215364502165,267.27279911940883,HAM
21,286.0470882043402,293.34559101964646,ALO
22,167.11779121269842,156.7427837112084,HAM
23,186.784046198341,173.83773127688323,HAM
24,258.0049684273292,254.50917790158627,HAM
25,274.47083306666667,278.8111104,ALO
