Minisector,SAI,RUS,Fastest
0,248.20513572392156,245.93359699453092,SAI
1,122.87504881596284,118.18871239948567,SAI
2,205.78836035324673,192.99530775862482,SAI
3,246.79142436569416,241.93690309198877,SAI
4,257.75948557206345,250.9053277862789,SAI
5,178.8211110271937,172.18044330763416,SAI
6,143.30059982447972,143.98695265614177,RUS
7,180.56075520241814,188.34230662095237,RUS
8,99.96410281623946,103.88260825872167,RUS
9,73.70771669431117,73.85038105711992,RUS
10,93.74848820142056,93.23372738557887,SAI
11,188.36438835428572,180.67627706970043,SAI
12,244.51975857884335,242.64314480527474,SAI
13,267.2746530466936,265.58525708698414,SAI
14,273.5605745964945,270.66425428280274,SAI
15,104.59177569283625,112.68518152806814,RUS
16,143.91039394438096,145.3275697437086,RUS
17,170.07947654451576,180.26917611388475,RUS
18,196.10075270775025,197.78267292683472,RUS
19,206.6817204688889,204.54381110857142,SAI
20,133.74839598142526,128.40276653319222,SAI
21,101.49531482877266,115.04957213349206,RUS
22,100.63146046945847,91.1674560230083,SAI
23,201.0896152735635,189.14656721393914,SAI
24,251.70163443543936,245.79694054857143,SAI
25,263.74999893333336,263.1939047878391,SAI
