Minisector,LEC,NOR,Fastest
0,319.78916671999997,300.60758380811285,LEC
1,247.97538956666668,239.04318131722152,LEC
2,128.10856559418886,130.35141165518746,NOR
3,238.77727237171717,238.91287844848486,NOR
4,182.87930917806563,188.26472619703435,NOR
5,246.59711982304148,246.15315240522284,LEC
6,228.40416662626262,232.55528772792752,NOR
7,256.1807863134121,256.68548641564547,NOR
8,292.58719154567905,284.9260804345679,LEC
9,203.03581606747161,210.8733515165991,NOR
10,202.43981872681704,202.20960350075188,LEC
11,275.17605448723924,270.86551904087906,LEC
12,204.7834910978586,211.62488925592294,NOR
13,244.57578837098845,248.6453056096051,NOR
14,289.70302987598274,290.4921521156967,NOR
15,313.59335447200874,303.3721332706812,LEC
16,321.4280796753623,299.2972754051282,LEC
17,231.87724241900926,233.91724922560073,NOR
18,269.2752978285714,268.82872095238093,LEC
19,303.27378561398217,296.97687549697406,LEC
20,323.8079862222222,303.33633331199997,LEC
21,328.3450940049001,293.88014968550266,LEC
22,145.9736262371165,155.72516535466667,NOR
23,223.54812570790097,232.41995115497835,NOR
24,299.23502387429846,287.02807319339786,LEC
25,315.19166720000004,297.77500053333335,LEC
