Minisector,VER,BOR,Fastest
0,326.59965120701327,326.5383036398143,VER
1,336.50178810561323,336.86925006019044,BOR
2,333.4646033192868,334.58525525131023,BOR
3,196.75084418054155,195.00319196270607,VER
4,131.18539534908004,133.32883800315247,BOR
5,268.491780004794,264.63615120177917,VER
6,304.30483539694086,305.51195351625256,BOR
7,318.1723824323882,320.74523311725125,BOR
8,276.91826212052877,280.84812805435536,BOR
9,146.05216030795134,146.29529021187682,BOR
10,224.3679398578597,226.09303340725623,BOR
11,233.82846511501307,224.14352164615866,VER
12,207.8747975911549,201.28407466432404,VER
13,279.8365956519712,270.8741914836556,VER
14,311.86754808990474,308.7463065228833,VER
15,324.9116439448068,324.5607264419008,VER
16,278.715478367205,275.7119228310534,VER
17,223.43620464738538,205.03015655528355,VER
18,279.1155193164001,277.4781327670857,VER
19,312.8263753004572,311.4426597036077,VER
20,324.67341047308645,325.76232153396825,BOR
21,309.6096542098551,313.62254566529265,BOR
22,227.65936809011168,213.18039067397987,VER
23,275.76631634108355,273.0841814351415,VER
24,309.8683783803896,308.460750735507,VER
25,,319.9611114666667,BOR
