Minisector,RUS,BOR,Fastest
0,269.3410740093871,267.8937841542562,RUS
1,284.88514695314285,287.0344276355556,BOR
2,283.33203643789034,291.90977564024604,BOR
3,127.10073108098764,133.32571965748164,BOR
4,197.9188673344298,195.98449907386396,RUS
5,254.76440704830338,253.66014657923097,RUS
6,147.57867411214437,139.99204475259637,RUS
7,213.18614015717463,209.37530338539682,RUS
8,258.745935152422,259.0191974801483,BOR
9,279.05015273600003,277.3316762772161,RUS
10,245.87460421869486,235.56467219844745,RUS
11,187.2373473266506,185.07307059185803,RUS
12,199.90607881273414,196.28419276720442,RUS
13,145.56553969546897,141.78968850740182,RUS
14,179.49374815543385,175.8001551034406,RUS
15,167.22328997555556,166.40396375891828,RUS
16,220.63598154295886,222.97083853563825,BOR
17,239.24206813674186,235.60687412074532,RUS
18,245.6545987491996,242.91244294603175,RUS
19,236.24344257616164,237.09919939461702,BOR
20,149.2051734924843,145.23602592582634,RUS
21,136.96208900466854,124.92359752854928,RUS
22,167.74693317333333,172.5010856741333,BOR
23,160.3357543872511,152.75665644570708,RUS
24,235.01628260266665,229.86932802857865,RUS
25,258.5833333333333,,RUS
