Minisector,PER,SAI,Fastest
0,278.2479857747879,275.8292324088259,PER
1,296.63614743088027,295.26038157506497,PER
2,233.47430831758288,234.25108986309644,SAI
3,109.04536906913991,116.76113379079058,SAI
4,127.47064641922469,122.6183276472774,PER
5,246.82786069760002,243.2621854837419,PER
6,241.55825534110923,254.28226429746866,SAI
7,118.77636863966318,121.13887889713891,SAI
8,247.63331550234815,238.2309111585065,PER
9,256.9170765701587,244.320496672616,PER
10,203.99820452689357,210.72815075798184,SAI
11,138.0184475191064,140.25231009948212,SAI
12,199.77692013110212,190.47638232970564,PER
13,260.33386750720246,258.4954138570001,PER
14,109.80053691327593,116.3675757139114,SAI
15,183.24941481820787,172.4318668304987,PER
16,252.1863807728538,252.51535183757773,SAI
17,286.9038509152183,283.0568097513602,PER
18,301.3877822326251,298.01466355809526,PER
19,319.1590067861295,305.4042182292891,PER
20,328.80034740285714,309.3524305777778,PER
21,162.99297351889453,204.93407893186549,SAI
22,140.85803632196001,130.66455207107083,PER
23,191.7420909709371,198.71586822881824,SAI
24,237.12999436300632,220.03742054103168,PER
25,,260.85750048,SAI
