Minisector,NOR,ALB,Fastest
0,291.6560317647452,282.66955112699816,NOR
1,160.32948720179385,146.9530431362489,NOR
2,161.86212728957534,160.91048351213374,NOR
3,242.16718074829933,239.29585976845718,NOR
4,263.8439014421211,260.5162113629304,NOR
5,243.06794479177145,215.9737835163982,NOR
6,212.76715344808625,199.35238021460404,NOR
7,143.87759967532182,140.43221744978268,NOR
8,225.9912351541195,224.72488003848596,NOR
9,298.4259583670408,294.5154694984519,NOR
10,322.78619625574424,322.8313108672822,ALB
11,323.013837449266,327.82628837159183,ALB
12,315.28897467915516,320.96165307379056,ALB
13,310.92537790075187,309.50118235961736,NOR
14,126.88892510833286,123.29333851410674,NOR
15,117.5039051461619,113.22607186699997,NOR
16,97.7324261022334,105.88784943777235,ALB
17,243.08869470158433,241.9501756386858,NOR
18,304.53501288314624,303.2614863531075,NOR
19,325.84803313662337,315.19861098922615,NOR
20,328.3413827419827,315.10365048203505,NOR
21,323.14664946262627,313.73795665917436,NOR
22,128.0227054106298,113.35442501146197,NOR
23,198.83322714242013,204.96753390755458,ALB
24,276.47344390115245,273.8725714187255,NOR
